add-none,1,100,200,64936,324,0
add-none,1,1000,2000,75126,37,0
add-none,1,10000,20000,198819,9,0
add-none,1,100000,200000,1205265,6,0
add-none,2,100,400,142286,355,0
add-none,2,1000,4000,134895,33,0
add-none,2,10000,40000,417747,10,0
add-none,2,100000,400000,5107543,12,11
add-none,4,100,800,160655,200,0
add-none,4,1000,8000,250663,31,0
add-none,4,10000,80000,1119485,13,64
add-none,4,100000,800000,10697511,13,1294
add-none,8,100,1600,1030747,644,0
add-none,8,1000,16000,1696523,106,0
add-none,8,10000,160000,5056776,31,86
add-none,8,100000,1600000,23995244,14,1579
add-none,12,100,2400,943021,392,0
add-none,12,1000,24000,2245254,93,0
add-none,12,10000,240000,3297317,13,214
add-none,12,100000,2400000,33039583,13,1427
add-yield-none,1,1,2,220143,110071,0
add-yield-none,1,10,20,467820,23391,0
add-yield-none,1,100,200,1722471,8612,0
add-yield-none,1,1000,2000,17243743,8621,0
add-yield-none,1,10000,20000,136060585,6803,0
add-yield-none,1,100000,200000,1051191915,5255,0
add-yield-none,2,10,40,35993464,899836,0
add-yield-none,2,20,80,43430546,542881,0
add-yield-none,2,40,160,14010784,87567,0
add-yield-none,2,100,400,4111529,10278,0
add-yield-none,2,1000,4000,13812453,3453,1
add-yield-none,2,10000,40000,176162058,4404,0
add-yield-none,2,100000,400000,981163761,2452,-2
add-yield-none,4,10,80,22820118,285251,0
add-yield-none,4,20,160,2125492,13284,0
add-yield-none,4,40,320,13824554,43201,2
add-yield-none,4,100,800,36342157,45427,1
add-yield-none,4,1000,8000,54949843,6868,1
add-yield-none,4,10000,80000,159749906,1996,3
add-yield-none,4,100000,800000,980274236,1225,3
add-yield-none,8,10,160,378287,2364,0
add-yield-none,8,20,320,529766,1655,0
add-yield-none,8,40,640,1569514,2452,1
add-yield-none,8,100,1600,1620921,1013,1
add-yield-none,8,1000,16000,14770817,923,2
add-yield-none,8,10000,160000,105677127,660,1
add-yield-none,8,100000,1600000,1374330365,858,3
add-yield-none,12,10,240,2748933,11453,4
add-yield-none,12,20,480,1175373,2448,3
add-yield-none,12,40,960,4693468,4889,3
add-yield-none,12,100,2400,44742269,18642,1
add-yield-none,12,1000,24000,66509286,2771,1
add-yield-none,12,10000,240000,290837980,1211,2
add-yield-none,12,100000,2400000,1397686960,582,5
add-yield-m,2,10000,40000,283000867,7075,0
add-yield-s,2,1000,4000,27082412,6770,0
add-yield-c,2,10000,40000,219975676,5499,0
add-yield-m,4,10000,80000,927241824,11590,0
add-yield-s,4,1000,8000,43756884,5469,0
add-yield-c,4,10000,80000,279139629,3489,0
add-yield-m,8,10000,160000,1982448263,12390,0
add-yield-s,8,1000,16000,657164199,41072,0
add-yield-c,8,10000,160000,420463869,2627,0
add-yield-m,12,10000,240000,3745316633,15605,0
add-yield-s,12,1000,24000,1980150473,82506,0
add-yield-c,12,10000,240000,344757152,1436,0
add-none,1,10000,20000,235126,11,0
add-m,1,10000,20000,10907931,545,0
add-s,1,10000,20000,10289556,514,0
add-c,1,10000,20000,11187134,559,0
add-none,2,10000,40000,10212678,255,227
add-m,2,10000,40000,18442688,461,0
add-s,2,10000,40000,16211258,405,0
add-c,2,10000,40000,7630896,190,0
add-none,8,10000,160000,14228892,88,30
add-m,8,10000,160000,77069815,481,0
add-s,8,10000,160000,111841867,699,0
add-c,8,10000,160000,27049827,169,0
add-none,12,10000,240000,3500368,14,369
add-m,12,10000,240000,47674835,198,0
add-s,12,10000,240000,58603136,244,0
add-c,12,10000,240000,9792343,40,0
